"yield_curve_code";"proj_time";"month";"nominal_rate";"inflation";"basis"
"YC202112";239;12;0.09685211;0.08599219;"IFRS"
"YC202112";240;12;0.09685211;0.08599219;"IFRS"
"YC202112";241;12;0.09715516;0.08629224;"IFRS"
"YC202112";242;12;0.09715516;0.08629224;"IFRS"
"YC202112";243;12;0.09715516;0.08629224;"IFRS"
"YC202112";244;12;0.09738853;0.0865233;"IFRS"
"YC202112";245;12;0.09738853;0.0865233;"IFRS"
"YC202112";246;12;0.09738853;0.0865233;"IFRS"
"YC202112";247;12;0.0975851;0.08671792;"IFRS"
"YC202112";248;12;0.0975851;0.08671792;"IFRS"
"YC202112";249;12;0.0975851;0.08671792;"IFRS"
"YC202112";250;12;0.09772936;0.08686076;"IFRS"
"YC202112";251;12;0.09772936;0.08686076;"IFRS"
"YC202112";252;12;0.09772936;0.08686076;"IFRS"
"YC202112";253;12;0.09784674;0.08697697;"IFRS"
"YC202112";254;12;0.09784674;0.08697697;"IFRS"
"YC202112";255;12;0.09784674;0.08697697;"IFRS"
"YC202112";256;12;0.09792452;0.08705398;"IFRS"
"YC202112";257;12;0.09792452;0.08705398;"IFRS"
"YC202112";258;12;0.09792452;0.08705398;"IFRS"
"YC202112";259;12;0.09798265;0.08711153;"IFRS"
"YC202112";260;12;0.09798265;0.08711153;"IFRS"
"YC202112";261;12;0.09798265;0.08711153;"IFRS"
"YC202112";262;12;0.09801095;0.08713955;"IFRS"
"YC202112";263;12;0.09801095;0.08713955;"IFRS"
"YC202112";264;12;0.09801095;0.08713955;"IFRS"
"YC202112";265;12;0.09802534;0.0871538;"IFRS"
"YC202112";266;12;0.09802534;0.0871538;"IFRS"
"YC202112";267;12;0.09802534;0.0871538;"IFRS"
"YC202112";268;12;0.09801741;0.08714595;"IFRS"
"YC202112";269;12;0.09801741;0.08714595;"IFRS"
"YC202112";270;12;0.09801741;0.08714595;"IFRS"
"YC202112";271;12;0.09800014;0.08712886;"IFRS"
"YC202112";272;12;0.09800014;0.08712886;"IFRS"
"YC202112";273;12;0.09800014;0.08712886;"IFRS"
"YC202112";274;12;0.09796667;0.08709572;"IFRS"
"YC202112";275;12;0.09796667;0.08709572;"IFRS"
"YC202112";276;12;0.09796667;0.08709572;"IFRS"
"YC202112";277;12;0.09792779;0.08705722;"IFRS"
"YC202112";278;12;0.09792779;0.08705722;"IFRS"
"YC202112";279;12;0.09792779;0.08705722;"IFRS"
"YC202112";280;12;0.09787768;0.0870076;"IFRS"
"YC202112";281;12;0.09787768;0.0870076;"IFRS"
"YC202112";282;12;0.09787768;0.0870076;"IFRS"
"YC202112";283;12;0.09782553;0.08695597;"IFRS"
"YC202112";284;12;0.09782553;0.08695597;"IFRS"
"YC202112";285;12;0.09782553;0.08695597;"IFRS"
"YC202112";286;12;0.0977665;0.08689752;"IFRS"
"YC202112";287;12;0.0977665;0.08689752;"IFRS"
"YC202112";288;12;0.0977665;0.08689752;"IFRS"
"YC202112";289;12;0.09770867;0.08684026;"IFRS"
"YC202112";290;12;0.09770867;0.08684026;"IFRS"
"YC202112";291;12;0.09770867;0.08684026;"IFRS"
"YC202112";292;12;0.0976476;0.0867798;"IFRS"
"YC202112";293;12;0.0976476;0.0867798;"IFRS"
"YC202112";294;12;0.0976476;0.0867798;"IFRS"
"YC202112";295;12;0.09759078;0.08672354;"IFRS"
"YC202112";296;12;0.09759078;0.08672354;"IFRS"
"YC202112";297;12;0.09759078;0.08672354;"IFRS"
"YC202112";298;12;0.09753388;0.08666721;"IFRS"
"YC202112";299;12;0.09753388;0.08666721;"IFRS"
"YC202112";300;12;0.09753388;0.08666721;"IFRS"
"YC202112";301;12;0.09748414;0.08661796;"IFRS"
"YC202112";302;12;0.09748414;0.08661796;"IFRS"
"YC202112";303;12;0.09748414;0.08661796;"IFRS"
"YC202112";304;12;0.09743705;0.08657134;"IFRS"
"YC202112";305;12;0.09743705;0.08657134;"IFRS"
"YC202112";306;12;0.09743705;0.08657134;"IFRS"
"YC202112";307;12;0.09739985;0.08653451;"IFRS"
"YC202112";308;12;0.09739985;0.08653451;"IFRS"
"YC202112";309;12;0.09739985;0.08653451;"IFRS"
"YC202112";310;12;0.09736757;0.08650254;"IFRS"
"YC202112";311;12;0.09736757;0.08650254;"IFRS"
"YC202112";312;12;0.09736757;0.08650254;"IFRS"
"YC202112";313;12;0.09734768;0.08648285;"IFRS"
"YC202112";314;12;0.09734768;0.08648285;"IFRS"
"YC202112";315;12;0.09734768;0.08648285;"IFRS"
"YC202112";316;12;0.0973317;0.08646703;"IFRS"
"YC202112";317;12;0.0973317;0.08646703;"IFRS"
"YC202112";318;12;0.0973317;0.08646703;"IFRS"
"YC202112";319;12;0.09731599;0.08645148;"IFRS"
"YC202112";320;12;0.09731599;0.08645148;"IFRS"
"YC202112";321;12;0.09731599;0.08645148;"IFRS"
"YC202112";322;12;0.09729347;0.08642917;"IFRS"
"YC202112";323;12;0.09729347;0.08642917;"IFRS"
"YC202112";324;12;0.09729347;0.08642917;"IFRS"
"YC202112";325;12;0.09727089;0.08640682;"IFRS"
"YC202112";326;12;0.09727089;0.08640682;"IFRS"
"YC202112";327;12;0.09727089;0.08640682;"IFRS"
"YC202112";328;12;0.09724296;0.08637916;"IFRS"
"YC202112";329;12;0.09724296;0.08637916;"IFRS"
"YC202112";330;12;0.09724296;0.08637916;"IFRS"
"YC202112";331;12;0.09721573;0.08635221;"IFRS"
"YC202112";332;12;0.09721573;0.08635221;"IFRS"
"YC202112";333;12;0.09721573;0.08635221;"IFRS"
"YC202112";334;12;0.09718442;0.08632121;"IFRS"
"YC202112";335;12;0.09718442;0.08632121;"IFRS"
"YC202112";336;12;0.09718442;0.08632121;"IFRS"
"YC202112";337;12;0.09715457;0.08629165;"IFRS"
"YC202112";338;12;0.09715457;0.08629165;"IFRS"
"YC202112";339;12;0.09715457;0.08629165;"IFRS"
"YC202112";340;12;0.09712167;0.08625908;"IFRS"
"YC202112";341;12;0.09712167;0.08625908;"IFRS"
"YC202112";342;12;0.09712167;0.08625908;"IFRS"
"YC202112";343;12;0.09709089;0.08622861;"IFRS"
"YC202112";344;12;0.09709089;0.08622861;"IFRS"
"YC202112";345;12;0.09709089;0.08622861;"IFRS"
"YC202112";346;12;0.09705803;0.08619607;"IFRS"
"YC202112";347;12;0.09705803;0.08619607;"IFRS"
"YC202112";348;12;0.09705803;0.08619607;"IFRS"
"YC202112";349;12;0.09702799;0.08616633;"IFRS"
"YC202112";350;12;0.09702799;0.08616633;"IFRS"
"YC202112";351;12;0.09702799;0.08616633;"IFRS"
"YC202112";352;12;0.09699661;0.08613525;"IFRS"
"YC202112";353;12;0.09699661;0.08613525;"IFRS"
"YC202112";354;12;0.09699661;0.08613525;"IFRS"
"YC202112";355;12;0.09696857;0.08610749;"IFRS"
"YC202112";356;12;0.09696857;0.08610749;"IFRS"
"YC202112";357;12;0.09696857;0.08610749;"IFRS"
"YC202112";358;12;0.09693997;0.08607918;"IFRS"
"YC202112";359;12;0.09693997;0.08607918;"IFRS"
"YC202112";360;12;0.09693997;0.08607918;"IFRS"
"YC202112";361;12;0.09691521;0.08605467;"IFRS"
"YC202112";362;12;0.09691521;0.08605467;"IFRS"
"YC202112";363;12;0.09691521;0.08605467;"IFRS"
"YC202112";364;12;0.09691521;0.08605467;"IFRS"
"YC202112";365;12;0.09691521;0.08605467;"IFRS"
"YC202112";366;12;0.09691521;0.08605467;"IFRS"
"YC202112";367;12;0.09691521;0.08605467;"IFRS"
"YC202112";368;12;0.09691521;0.08605467;"IFRS"
"YC202112";369;12;0.09691521;0.08605467;"IFRS"
"YC202112";370;12;0.09691521;0.08605467;"IFRS"
"YC202112";371;12;0.09691521;0.08605467;"IFRS"
"YC202112";372;12;0.09691521;0.08605467;"IFRS"
"YC202112";373;12;0.09691521;0.08605467;"IFRS"
"YC202112";374;12;0.09691521;0.08605467;"IFRS"
"YC202112";375;12;0.09691521;0.08605467;"IFRS"
"YC202112";376;12;0.09691521;0.08605467;"IFRS"
"YC202112";377;12;0.09691521;0.08605467;"IFRS"
"YC202112";378;12;0.09691521;0.08605467;"IFRS"
"YC202112";379;12;0.09691521;0.08605467;"IFRS"
"YC202112";380;12;0.09691521;0.08605467;"IFRS"
"YC202112";381;12;0.09691521;0.08605467;"IFRS"
"YC202112";382;12;0.09691521;0.08605467;"IFRS"
"YC202112";383;12;0.09691521;0.08605467;"IFRS"
"YC202112";384;12;0.09691521;0.08605467;"IFRS"
"YC202112";385;12;0.09691521;0.08605467;"IFRS"
"YC202112";386;12;0.09691521;0.08605467;"IFRS"
"YC202112";387;12;0.09691521;0.08605467;"IFRS"
"YC202112";388;12;0.09691521;0.08605467;"IFRS"
"YC202112";389;12;0.09691521;0.08605467;"IFRS"
"YC202112";390;12;0.09691521;0.08605467;"IFRS"
"YC202112";391;12;0.09691521;0.08605467;"IFRS"
"YC202112";392;12;0.09691521;0.08605467;"IFRS"
"YC202112";393;12;0.09691521;0.08605467;"IFRS"
"YC202112";394;12;0.09691521;0.08605467;"IFRS"
"YC202112";395;12;0.09691521;0.08605467;"IFRS"
"YC202112";396;12;0.09691521;0.08605467;"IFRS"
"YC202112";397;12;0.09691521;0.08605467;"IFRS"
"YC202112";398;12;0.09691521;0.08605467;"IFRS"
"YC202112";399;12;0.09691521;0.08605467;"IFRS"
"YC202112";400;12;0.09691521;0.08605467;"IFRS"
"YC202112";401;12;0.09691521;0.08605467;"IFRS"
"YC202112";402;12;0.09691521;0.08605467;"IFRS"
"YC202112";403;12;0.09691521;0.08605467;"IFRS"
"YC202112";404;12;0.09691521;0.08605467;"IFRS"
"YC202112";405;12;0.09691521;0.08605467;"IFRS"
"YC202112";406;12;0.09691521;0.08605467;"IFRS"
"YC202112";407;12;0.09691521;0.08605467;"IFRS"
"YC202112";408;12;0.09691521;0.08605467;"IFRS"
"YC202112";409;12;0.09691521;0.08605467;"IFRS"
"YC202112";410;12;0.09691521;0.08605467;"IFRS"
"YC202112";411;12;0.09691521;0.08605467;"IFRS"
"YC202112";412;12;0.09691521;0.08605467;"IFRS"
"YC202112";413;12;0.09691521;0.08605467;"IFRS"
"YC202112";414;12;0.09691521;0.08605467;"IFRS"
"YC202112";415;12;0.09691521;0.08605467;"IFRS"
"YC202112";416;12;0.09691521;0.08605467;"IFRS"
"YC202112";417;12;0.09691521;0.08605467;"IFRS"
"YC202112";418;12;0.09691521;0.08605467;"IFRS"
"YC202112";419;12;0.09691521;0.08605467;"IFRS"
"YC202112";420;12;0.09691521;0.08605467;"IFRS"
"YC202112";421;12;0.09691521;0.08605467;"IFRS"
"YC202112";422;12;0.09691521;0.08605467;"IFRS"
"YC202112";423;12;0.09691521;0.08605467;"IFRS"
"YC202112";424;12;0.09691521;0.08605467;"IFRS"
"YC202112";425;12;0.09691521;0.08605467;"IFRS"
"YC202112";426;12;0.09691521;0.08605467;"IFRS"
"YC202112";427;12;0.09691521;0.08605467;"IFRS"
"YC202112";428;12;0.09691521;0.08605467;"IFRS"
"YC202112";429;12;0.09691521;0.08605467;"IFRS"
"YC202112";430;12;0.09691521;0.08605467;"IFRS"
"YC202112";431;12;0.09691521;0.08605467;"IFRS"
"YC202112";432;12;0.09691521;0.08605467;"IFRS"
"YC202112";433;12;0.09691521;0.08605467;"IFRS"
"YC202112";434;12;0.09691521;0.08605467;"IFRS"
"YC202112";435;12;0.09691521;0.08605467;"IFRS"
"YC202112";436;12;0.09691521;0.08605467;"IFRS"
"YC202112";437;12;0.09691521;0.08605467;"IFRS"
"YC202112";438;12;0.09691521;0.08605467;"IFRS"
"YC202112";439;12;0.09691521;0.08605467;"IFRS"
"YC202112";440;12;0.09691521;0.08605467;"IFRS"
"YC202112";441;12;0.09691521;0.08605467;"IFRS"
"YC202112";442;12;0.09691521;0.08605467;"IFRS"
"YC202112";443;12;0.09691521;0.08605467;"IFRS"
"YC202112";444;12;0.09691521;0.08605467;"IFRS"
"YC202112";445;12;0.09691521;0.08605467;"IFRS"
"YC202112";446;12;0.09691521;0.08605467;"IFRS"
"YC202112";447;12;0.09691521;0.08605467;"IFRS"
"YC202112";448;12;0.09691521;0.08605467;"IFRS"
"YC202112";449;12;0.09691521;0.08605467;"IFRS"
"YC202112";450;12;0.09691521;0.08605467;"IFRS"
"YC202112";451;12;0.09691521;0.08605467;"IFRS"
"YC202112";452;12;0.09691521;0.08605467;"IFRS"
"YC202112";453;12;0.09691521;0.08605467;"IFRS"
"YC202112";454;12;0.09691521;0.08605467;"IFRS"
"YC202112";455;12;0.09691521;0.08605467;"IFRS"
"YC202112";456;12;0.09691521;0.08605467;"IFRS"
"YC202112";457;12;0.09691521;0.08605467;"IFRS"
"YC202112";458;12;0.09691521;0.08605467;"IFRS"
"YC202112";459;12;0.09691521;0.08605467;"IFRS"
"YC202112";460;12;0.09691521;0.08605467;"IFRS"
"YC202112";461;12;0.09691521;0.08605467;"IFRS"
