policy_number,spcode,product_code,initial_policy,commencement_year,commencement_month,ifrs17_group,age_at_entry,gender,main_member_age_at_entry,main_member_gender,sum_assured,annual_premium,premium_status,premium_pattern,waiting_period,duration_in_force_months,sum_assured_escalation,premium_escalation,interest_percentage,income,education_level,socio_economic_class,occupational_class,smoker_status,select_period,current_loan,premium_frequency,premium_rate,temporary_premium_waiver_indicator,temporary_premium_waiver_month_exit,distribution,tax_class,education,plan,continuity_or_premium_waiver_option,premium_waiver_indicator,commission_type,cashback_indicator,funeral_service_indicator,repatriation,tombstone,cow_benefit,educator_option,paidup_option,paidup_indicator,member_type,term,original_term,outstanding_term_months,food,cashback_option,premium_holiday_used,disability_definition,deferred_period
10365,1,FUN_01,1,2021,12,1,12,M,38,F,15000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,156,0,0,0,0,0,0,0
10395,1,FUN_01,1,2021,12,1,39,M,39,M,50000,3444,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,972,0,0,0,0,0,0,0
10395,1,FUN_01,1,2021,12,1,32,F,39,M,50000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,SP,1044,0,0,0,0,0,0,0
10395,1,FUN_01,1,2021,12,1,13,M,39,M,25000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,132,0,0,0,0,0,0,0
10437,1,FUN_01,1,2021,12,1,51,F,51,F,50000,3732,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,828,0,0,0,0,0,0,0
10437,1,FUN_01,1,2021,12,1,16,M,51,F,25000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,108,0,0,0,0,0,0,0
10437,1,FUN_01,1,2021,12,1,80,F,51,F,15000,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,480,0,0,0,0,0,0,0
10439,1,FUN_01,1,2021,12,1,64,F,64,F,50000,1536,0,1,6,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,1,0,0,0,MM,660,0,0,0,0,0,0,0
10440,1,FUN_01,1,2021,12,1,39,M,39,M,50000,3060,0,1,6,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,972,0,0,0,0,0,0,0
10440,1,FUN_01,1,2021,12,1,40,M,39,M,50000,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,960,0,0,0,0,0,0,0
10440,1,FUN_01,1,2021,12,1,14,M,39,M,25000,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,132,0,0,0,0,0,0,0
10440,1,FUN_01,1,2021,12,1,63,M,39,M,10000,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,684,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,43,M,43,M,25000,1956,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,MM,924,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,40,F,43,M,25000,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,SP,960,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,20,F,43,M,15000,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,CH,60,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,17,F,43,M,15000,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,CH,96,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,14,F,43,M,15000,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,CH,132,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,2,M,43,M,5000,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,CH,264,0,0,0,0,0,0,0
10446,1,FUN_01,1,2021,12,1,57,F,43,M,3000,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,PAR,756,0,0,0,0,0,0,0
10529,1,FUN_01,1,2021,12,1,52,F,52,F,25000,1332,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,1,0,0,0,MM,816,0,0,0,0,0,0,0
10626,1,FUN_01,1,2021,12,1,35,F,35,F,50000,2700,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,1020,0,0,0,0,0,0,0
10626,1,FUN_01,1,2021,12,1,39,M,35,F,50000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,972,0,0,0,0,0,0,0
10626,1,FUN_01,1,2021,12,1,18,M,35,F,10000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,288,0,0,0,0,0,0,0
10626,1,FUN_01,1,2021,12,1,69,F,35,F,5000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,612,0,0,0,0,0,0,0
10634,1,FUN_01,1,2021,12,1,55,M,55,M,50000,2340,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,768,0,0,0,0,0,0,0
10634,1,FUN_01,1,2021,12,1,41,F,55,M,50000,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,936,0,0,0,0,0,0,0
10634,1,FUN_01,1,2021,12,1,22,M,55,M,25000,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,24,0,0,0,0,0,0,0
10634,1,FUN_01,1,2021,12,1,10,M,55,M,15000,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,168,0,0,0,0,0,0,0
10646,1,FUN_01,1,2021,12,1,43,F,43,F,50000,2340,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,924,0,0,0,0,0,0,0
10646,1,FUN_01,1,2021,12,1,47,M,43,F,50000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,864,0,0,0,0,0,0,0
10646,1,FUN_01,1,2021,12,1,16,F,43,F,25000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,96,0,0,0,0,0,0,0
10646,1,FUN_01,1,2021,12,1,9,M,43,F,15000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,192,0,0,0,0,0,0,0
10670,1,FUN_01,1,2021,12,1,56,F,56,F,50000,2964,0,1,6,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,756,0,0,0,0,0,0,0
10670,1,FUN_01,1,2021,12,1,58,F,56,F,50000,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,SP,744,0,0,0,0,0,0,0
10678,1,FUN_01,1,2021,12,1,38,F,38,F,50000,1692,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,972,0,0,0,0,0,0,0
10679,1,FUN_01,1,2021,12,1,43,M,43,M,12500,564,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,B,0,0,1,0,0,0,0,0,0,0,0,MM,912,0,0,0,0,0,0,0
10701,1,FUN_01,1,2021,12,1,37,F,37,F,50000,3084,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,1,0,0,0,0,0,0,0,MM,996,0,0,0,1,0,0,0
10701,1,FUN_01,1,2021,12,1,14,M,37,F,25000,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,120,0,0,0,0,0,0,0
10701,1,FUN_01,1,2021,12,1,7,F,37,F,15000,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,216,0,0,0,0,0,0,0
10790,1,FUN_01,1,2021,12,1,50,F,50,F,50000,4464,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,840,0,0,0,0,0,0,0
10790,1,FUN_01,1,2021,12,1,55,M,50,F,50000,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,SP,768,0,0,0,0,0,0,0
10790,1,FUN_01,1,2021,12,1,86,F,50,F,15000,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,PAR,408,0,0,0,0,0,0,0
10801,1,FUN_01,1,2021,12,1,41,F,41,F,50000,2340,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,948,0,0,0,0,0,0,0
10801,1,FUN_01,1,2021,12,1,44,M,41,F,50000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,912,0,0,0,0,0,0,0
10872,1,FUN_01,1,2021,12,1,38,F,38,F,50000,3060,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,984,0,0,0,0,0,0,0
